"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 23 22:10:49 BDT 2024","Thu May 23 22:10:53 BDT 2024","3964","All Test Suite","D:/JetBrains/WafilifeAutomationTest","testCases.TestLogin","testCases.TestLogin","testLogout","testLogout",""
"passed","Thu May 23 22:10:45 BDT 2024","Thu May 23 22:10:49 BDT 2024","4841","All Test Suite","D:/JetBrains/WafilifeAutomationTest","testCases.TestLogin","testCases.TestLogin","testShippingWithValidCredentials","testShippingWithValidCredentials",""
"passed","Thu May 23 22:10:28 BDT 2024","Thu May 23 22:10:35 BDT 2024","6358","All Test Suite","D:/JetBrains/WafilifeAutomationTest","testCases.TestCases","testCases.TestCases","testLoginWithOutEmailAndPassword","testLoginWithOutEmailAndPassword",""
"passed","Thu May 23 22:10:35 BDT 2024","Thu May 23 22:10:45 BDT 2024","9957","All Test Suite","D:/JetBrains/WafilifeAutomationTest","testCases.TestLogin","testCases.TestLogin","testLoginWithValidCredentials","User Login with Valid Credentials","Test Add using Allure :User Login with Valid Credentials"
"passed","Thu May 23 03:19:13 BDT 2024","Thu May 23 03:19:45 BDT 2024","31470","Default Suite","WafilifeAutomationTest","testCases.TestCases","testCases.TestCases","testLoginWithValidEmailAndWrongPassword","testLoginWithValidEmailAndWrongPassword",""
"passed","Thu May 23 22:09:59 BDT 2024","Thu May 23 22:10:06 BDT 2024","7665","All Test Suite","D:/JetBrains/WafilifeAutomationTest","testCases.TestCases","testCases.TestCases","testLoginWithInValidCredentials","User Login with InValid Credentials","Test Add using Allure :User Login with InValid Credentials"
"passed","Thu May 23 22:10:22 BDT 2024","Thu May 23 22:10:28 BDT 2024","6425","All Test Suite","D:/JetBrains/WafilifeAutomationTest","testCases.TestCases","testCases.TestCases","testLoginWithValidPasswordButInvalidEmail","testLoginWithValidPasswordButInvalidEmail",""
"passed","Thu May 23 22:10:06 BDT 2024","Thu May 23 22:10:15 BDT 2024","9004","All Test Suite","D:/JetBrains/WafilifeAutomationTest","testCases.TestCases","testCases.TestCases","testLoginWithValidEmailButWrongPassword","testLoginWithValidEmailButWrongPassword",""
"passed","Thu May 23 22:10:15 BDT 2024","Thu May 23 22:10:22 BDT 2024","6553","All Test Suite","D:/JetBrains/WafilifeAutomationTest","testCases.TestCases","testCases.TestCases","testLoginWithValidPasswordButWrongEmail","testLoginWithValidPasswordButWrongEmail",""
"passed","Thu May 23 22:09:53 BDT 2024","Thu May 23 22:09:59 BDT 2024","5227","All Test Suite","D:/JetBrains/WafilifeAutomationTest","testCases.TestCases","testCases.TestCases","testLoginWithValidCredentials","User Login with Valid Credentials","Test Add using Allure :User Login with Valid Credentials"
